ARTNO,ARTDESC,SITENAME,ONHANDQTY,ONHANDVALUE
1132398,"สายยางใส1/2"" 10M.พญานาค",คลังศูนย์กระจายสินค้า สาขาวังน้อย,62,3855.78
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-แม่สอด,14,870.66
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-บ่อวิน,1,55.22
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-กบินทร์บุรี,13,808.47
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-มีนบุรี,4,248.65
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-อรัญประเทศ,15,829.60
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-โรจนะ,23,1364.51
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-หาดใหญ่,20,1243.80
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-นครราชสีมา,13,767.40
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-นครพนม,3,172.93
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม บ้านฉาง,6,358.31
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-บางนาตราด,2,122.44
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-พัทยา,10,612.98
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-ฉะเชิงเทรา,9,490.55
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-สุราษฎร์ธานี,10,530.66
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-บางพลี,1,54.42
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-ติวานนท์,10,569.18
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-นครปฐม,18,1119.42
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-เชียงใหม่,1,60.68
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-บางแสน,12,706.38
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-ปลวกแดง,1,59.58
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-ทุ่งสง,9,538.60
1132398,"สายยางใส1/2"" 10M.พญานาค",เมกาโฮม-เวียงสระ,9,559.71
1132398,"สายยางใส1/2"" 10M.พญานาค",โฮมโปร สาขาขอนแก่น,2,120.67
1132398,"สายยางใส1/2"" 10M.พญานาค",โฮมโปร สาขาอุดรธานี,9,545.78
1132398,"สายยางใส1/2"" 10M.พญานาค",โฮมโปร สาขาลำลูกกา,14,870.66
1132398,"สายยางใส1/2"" 10M.พญานาค",โฮมโปร สาขาสุพรรณบุรี,11,684.09
1132398,"สายยางใส1/2"" 10M.พญานาค",โฮมโปร สาขาเชียงราย,13,808.47
1132398,"สายยางใส1/2"" 10M.พญานาค",โฮมโปร สาขาศรีราชา,8,437.76
1132398,"สายยางใส1/2"" 10M.พญานาค",โฮมโปร สาขาภูเก็ต (เจ้าฟ้า),1,56.23
1132398,"สายยางใส1/2"" 10M.พญานาค",โฮมโปร สาขาระยอง (ทับมา),5,290.77
1132398,"สายยางใส1/2"" 10M.พญานาค",โฮมโปร สาขาพุทธมณฑล สาย4,6,373.14
1132399,"สายยางใส1""10M.พญานาค",คลังศูนย์กระจายสินค้า สาขาวังน้อย,25,3839.50
1132399,"สายยางใส1""10M.พญานาค",เมกาโฮม-แม่สอด,8,1225.62
1132399,"สายยางใส1""10M.พญานาค",เมกาโฮม-บ่อวิน,5,752.57
1132399,"สายยางใส1""10M.พญานาค",เมกาโฮม-กบินทร์บุรี,1,155.49
1132399,"สายยางใส1""10M.พญานาค",เมกาโฮม-อรัญประเทศ,4,594.66
1132399,"สายยางใส1""10M.พญานาค",เมกาโฮม-โรจนะ,1,150.86
1132399,"สายยางใส1""10M.พญานาค",เมกาโฮม-นครพนม,2,299.72
1132399,"สายยางใส1""10M.พญานาค",เมกาโฮม-เชียงราย,1,146.30
1132399,"สายยางใส1""10M.พญานาค",เมกาโฮม บ้านฉาง,2,307.66
1132399,"สายยางใส1""10M.พญานาค",เมกาโฮม-ฉะเชิงเทรา,21,3174.87
1132399,"สายยางใส1""10M.พญานาค",เมกาโฮม-สุราษฎร์ธานี,9,1350.49
